subject,predicate,object
수분산형 폴리우레탄,사용하고,물을
수분산형 폴리우레탄,구현한,"친환경 제품으로 코팅, 접착제 등을"
관련 시장,증가하고 있다,매년
국도화학,구체화시키고 있다,고객의 수요를 신제품 개발로
국도화학,제공하고 있다,임직원들에게 다양한 복지제도를
국도화학,운영하고 있다,쾌적한 업무환경 조성을 위해
국도화학,운영하고 있다,헬스기구 등의 운동시설을
국도화학,운영하고 있다,탁구장을
국도화학,운영하고 있다,휴게실을
국도화학,운영하고 있다,샤워시설을
국도화학,지원하고 있다,운영비
국도화학,지원하고 있다,자녀 학자금
국도화학,지원하고 있다,휴가비
국도화학,지원하고 있다,장기근속자 포상
국도화학,지원하고 있다,임직원들의 행복한 삶
국도화학,기부하는,지자체에
국도화학,기부하는,마스크를
국도화학,지속,사회 환원 활동
국도화학,하회한다,여성 근로자 비율
여성 근로자 비율,하회한다,11.3%로
국도화학,속한,화학제품
화학제품 물질,여성고용비율,"화학제품, 여성고용비율, 제조업"
여성고용비율,하회한다,78.50%
국도화학의 수준은,상회,57.4%를
남성 대비,상회,여성 근로자의 수준은
여성 근로자의 임금 수준은,상회,75.7%로
동산업 평균인,상회,57.40%
국도화학의 이사회는,총 11명 구성되어,"8명 사내이사, 3명 사외이사"
11명,구성되어,상근감사
상근감사,수행하고,1명이
상근감사,수행하고 있다,업무
국도화학의 현금배당수익률은,확인된다,3.82%로
국도화학의 현금배당수익률은,2.21%,제49기
국도화학의 현금배당수익률은,3.82%,제50기
제49기,2.21%,2020년
제50기,3.82%,2021년
에폭시수지,사용되는,고기능성 소재로
산업분야에서,사용되는,고기능성 소재로
에폭시수지는,침체 했다,자동차 산업의 수요가
에폭시수지는,침체 했다,조선 산업의 수요가
에폭시수지는,침체 했다,건설 산업의 수요가
에폭시수지,침체 했다,전방산업
자동차 산업의 수요가,회복,에폭시수지의 수요도 증가
조선 산업의 수요가,회복,에폭시수지의 수요도 증가
건설 산업의 수요가,회복,에폭시수지의 수요도 증가
경기 재개에 대한 기대감 등,회복,에폭시수지의 수요도 증가
에폭시수지의 수요,전망,생산 확대
에폭시수지,사용되며,주로 코팅재 방수재의 용도로
에폭시수지,사용되는,도료
에폭시수지,사용되는,접착제
에폭시수지,사용되는,자동차 복합소재
에폭시수지,사용되는,다양한 산업분야
에폭시 수출단가는,머물러왔으나,2015년부터 2020년까지
에폭시 수출단가는,머물러왔으나,"2,000달러 선에"
수출단가는,확인된다,2021년 11월 이후 189달러로
기록을,세운,1990년 이후 최고치
자동차 산업,침체했던,COVID19 팬데믹으로
조선 산업,침체했던,COVID19 팬데믹으로
건설 산업,침체했던,COVID19 팬데믹으로
자동차 산업,되살아나고,2020년
조선 산업,되살아나고,2020년
건설 산업,되살아나고,2020년
수요가,되살아나고,억눌려있던 세계의 수요의 회복에
에폭시 수출단가가,떨어졌지만,2022년에는
에폭시 수출단가,떨어졌지만,"다시 4,000달러대로"
에폭시 수출단가가,유지하고,여전히 높은 수준을
미국·유럽·중국 등 국가의 인프라 투자 확대,힘입어,글로벌 수요 회복에
에폭시수지,유지될,가격 강세
에폭시수지,전망,가격 강세
세계 에폭시수지 시장은,2022년 규모에서, 66.4억 달러
세계 에폭시수지 시장은,성장,연평균 4.9%로
세계 에폭시수지 시장이,성장할,028년에는 88.4억 달러 규모로
세계 에폭시수지 시장이,전망,성장할 것으로
통계청에 따르면,규모이다,"국내 시장은 2019년 1조 5,807억 원"
국내 시장은,성장하고 있다,연평균성장률 12.39%로
국내 시장은,형성할 것으로 예상되고 있다,"2조 8,350억 원 규모의 시장을 2024년에"
국내 시장은,예상되고 있다,"2024년에 2조 8,350억 원 규모의 시장을 형성할 것으로"
에폭시수지 산업은,합성되는,비스페놀A 및 에피클로로하드린 등의 석유화학화합물로부터
에폭시수지의 원료인 비스페놀A,합성되는,석유화학화합물로부터
비스페놀A 및 에피클로로하드린은,합성되는,아세톤 등의 석유화학화합물로부터
에폭시수지 산업은,높고,원료의 해외의존도가
에폭시수지 산업은,민감,환율 및 유가에는
에폭시수지 산업은,쉽지 않다,공급량의 수요에 따른 조절이
에폭시수지 산업,특징이 있다,높고 해외의존도가 다소 민감
국제유가와 원자재 가격이,급등하여,최근 러시아와 우크라이나 간의 전쟁으로 인해
스태그플레이션의 우려 등의 요인이,미칠,에폭시수지 산업에도
국제유가와 원자재 가격이,급등하여,스태그플레이션의 우려
부정적인 영향,미칠,에폭시수지 산업에
미국과 중국이,집행하고,대규모 SOC 투자를
국내,예정되어,대규모 주택 공급 정책이
에폭시수지 원재료 가격,이끌 수 있다,추가 상승을
원재료의 가격이,상승함에도 불구하고,에폭시수지의 가격 또한 따라
에폭시수지의 가격,상승,큰 폭으로
에폭시수지의 가격,상승,수요 증가에 따라
에폭시 판매가격에서,벌어져서,원재료의 가격을 뺀 금액인 에폭시 스프레드도
에폭시 스프레드도,벌어져서,크게
2022년 3월 평균 스프레드 수준은,확인된다,"2,935.7 달러/톤으로"
2022년 3월 평균 스프레드 수준은,상승한,"2020년 2,016.5 달러/톤과 비교해"
글로벌 에폭시수지 시장의 점유율,1위이다,미국의 올린이 22%로
국도화학이,차지하고 있다,2위로 20%
미국의 헥시온,기록하고 있다,11%의 점유율을
국내의 금호피앤비화학㈜,기록하고 있다,7%의 점유율을
미국의 헥시온,차지하고 있다,3위를
국내의 금호피앤비화학㈜,차지하고 있다,4위를
국도화학 분기보고서에 따르면,확인된다,국내의 경우
국도화학과 금호피앤비화학,주도하고,국내 시장점유율을
국내 시장점유율,주도하고 있는 것으로, 65%와 29%로
국도화학,개발하여 제공하고 있다,최적화된 제품을 에폭시수지의 다양한 용도에 따라
국도화학,구축하고 있다,기술력을
국도화학,구축하고 있다,생산 인프라를
국도화학,최적화하고 있다,"물성, 내열성 등을"
국도화학,제공할 수 있다,자체 개발한 제품을
국도화학의,연간 에폭시 생산능력은,총 82만톤이다 2021년 기준
연간 에폭시 생산능력,세계 1위 수준이다,2021년 기준
국도화학,지속하고 있다,연구개발활동을 신규 제품의 개발을 위한
연구개발활동,포함한다,"고부가가치 제품, 고순도 제품, 친환경 제품군 등을"
국도화학,개발하고 있다,"고부가가치 제품 및 고순도, 친환경 제품군을"
에폭시수지는,의미한다,분자 내 2개 이상의 에폭시기를 갖는 열경화성 수지 화합물을
에폭시수지는,갖는다,굽힘강도·굳기 등의 기계적인 성질
에폭시수지는,갖는다,전기절연성이 우수한 성질
에폭시수지는,갖는다,경화 시 접착성
에폭시수지는,사용될 수 있다,토목·건축 분야에
에폭시수지는,사용될 수 있다,선박용·공업용 분야에
에폭시수지는,사용될 수 있다,자동차 전착 도료용 분야에
에폭시수지는,사용될 수 있다,전기전자용 분야에
에폭시수지는,사용될 수 있다,복합소재용 분야에
에폭시수지는,사용된다, 특히 수지의 성형 과정에서
에폭시수지는,포함된다,"원재료인 비스페놀A, 에피클로로하드린, 촉매 및 경화제 등을"
에폭시수지는,조절할 수 있다,"비스페놀A, 에피클로로하드린, 촉매 및 경화제 등의 비율을"
에폭시수지는,조정할 수 있다,물성과 내열성 등의 성능을
특성이 우수한 제품을,개발할 수 있다,용도에 맞게
특성이 우수한 제품을,기업의 경쟁력이 될 수 있다,생산하여 공급하는 것이
에폭시수지,분류될 수 있다,분자 구조에 따라서
에폭시수지,분류될 수 있다,비스페놀-A형으로
에폭시수지,분류될 수 있다,비스페놀-F형으로
에폭시수지,분류될 수 있다,노볼락형으로
비스페놀-A형,갖는다,특정 특징을
비스페놀-F형,갖는다,특정 특징을
노볼락형,갖는다,특정 특징을
비스페놀A형,사용된다,가장 많이
비스페놀A형은,에폭시수지이다,가장 많이 사용되는
비스페놀A형은,달라진다,고분자의 반복단위수(n)에 따라
고분자의 반복단위수(n)에 따라,달라진다,인성 및 내열성이
비스페놀A형은,될 수 있다, 액상
비스페놀A형은,될 수 있다,고상
국도화학의 비스페놀A형 수지,적용되고 있다,선박·중방식용 도료로
국도화학의 비스페놀A형 수지,적용되고 있다,토목 건축용 도료로
국도화학의 비스페놀A형 수지,적용되고 있다,접착제로
국도화학의 비스페놀A형 수지,사용된다,선박·중방식용 도료로
국도화학의 비스페놀A형 수지,사용된다,토목 건축용 도료로
국도화학의 비스페놀A형 수지,사용된다,접착제로
비스페놀F형,비교된다,비스페놀A형과
비스페놀F형,사용한다,원료로 비스페놀F를
비스페놀F형,유사하다,제조 공정이 비스페놀A형과
비스페놀F형, 갖는다,거의 동등한 경화물성을
비스페놀F형,다소 저하된다,내열성이
비스페놀F형,우수하다,내약품성이
비스페놀F형 수지,저점도이다,비스페놀A형 수지에 비하여
비스페놀F형 수지,우수하다,작업성이
비스페놀F형 수지,우수하다,유동성이
비스페놀F형 수지,감소시킬 수 있다,반응성 희석제의 첨가량을
비스페놀F형 수지,우수하다,작업성이나 유동성이
국도화학의 경우에도,특징이다,비스페놀F형 수지의 경우에도
휘발성유기화합물(VOCs) 사용량을,특징이다,최소화
비스페놀F형 수지,갖는다,에폭시기가 2개 이상
비스페놀F형 수지,높다,가교 밀도가
n이 클수록,변화한다,액상에서 고상으로 상이
비스페놀F형 수지,변화한다,액상에서 고상으로
비스페놀F형 수지,특징이 있다,n이 클수록 상이 변화하는
노볼락형 에폭시수지,내열성에는 큰 변화가 없고,분자량이 달라도
노볼락형 에폭시수지,가져,고경도 특성을
노볼락형 에폭시수지,가져,내약품성 특성을
노볼락형 에폭시수지,가져,고점도 특성을
노볼락형 에폭시수지,사용된다,PCB 봉지재에
노볼락형 에폭시수지,사용된다,IC 봉지재에
노볼락형 에폭시수지,사용된다,반도체 봉지재에
노볼락형 수지,보호한다,노출되는 환경으로부터
노볼락형 수지,보호한다,"산, 염기, 유기용제 등의 유해한 화학 물질에"
국도화학의 노볼락형 수지,사용된다,코팅 소재로
코팅 소재,보호한다,유해한 화학 물질에 노출되는 환경으로부터
코팅 소재,사용된다,소재를 보호하기 위해
국도화학,개발한다,기존 제품의 단점을 개선한 제품을
국도화학,개발한다,친환경 제품 수요에 대응하기 위한 제품을
국도화학,개발한다,고부가가치 복합재료용 특수제품을
국도화학,최적화한다,다양한 용도별로 에폭시수지 제품을
국도화학,공급한다,최적화된 에폭시수지 제품을
국도화학,확보하고 있다,기업경쟁력을
국도화학,개발하고 있다,다양한 용도별로 최적화된 에폭시수지 제품을
국도화학,설립되었다,1972년에
국도화학,집중하고 있다,에폭시수지의 개발 및 생산에
국도화학,유지하고 있다,반세기 가까이 흑자 기조를
국도화학,전문메이커이다,에폭시수지의
국도화학,제품,자체 기술력을 기반으로
국도화학,고부가가치 제품군을 개발하여,자체 기술력을 기반으로
국도화학,고순도 제품군을 개발하여,자체 기술력을 기반으로
국도화학,친환경 제품군을 개발하여,자체 기술력을 기반으로
국도화학,제품화하고 있다,제품군 등을 개발하여
요구가 증가하면서,요구된다,고성능 전자기기에 대한
유기 물질,사용된다,자동차 등의 전기 장치에
유기 물질,요구된다,저유전 특성이
유기 물질,요구된다,저탄성이
유기 물질,요구된다,양호한 열팽창계수가
유기 물질,요구된다,접착력이
고성능 전자기기,요구된다,저유전 특성 및 저탄성
고성능 전자기기,요구된다,양호한 열팽창계수 및 접착력
국도화학,개발하였다,특정 반복단위를 포함하는 새로운 에폭시수지를
국도화학,개발하였다,화학식1로 표시되는 연결기를 중심으로 하는 구조를 가지는 새로운 에폭시수지를
국도화학이 개발한 에폭시수지,가지다,저탄성 특성을
국도화학이 개발한 에폭시수지,가지다,저유전 특성을
국도화학이 개발한 에폭시수지,가지다,양호한 열팽창계수를
국도화학이 개발한 에폭시수지,가지다,접착력을
국도화학이 개발한 에폭시수지,적용할 수 있다,고성능 전자기기에
국도화학이 개발한 에폭시수지,가지다,고성능 전자기기에 적용할 수 있는 장점을
국도화학,혼성시키고,에폭시수지를 무기원소와
국도화학,변성시켜,산무수물을 글리콜로
국도화학,개발하였고,열경화성 수지 조성물로 구현한 에폭시수지를
국도화학의 에폭시수지는,응용이 가능한,전자기기의 투명기판으로
국도화학의 에폭시수지는,응용이 가능한,외장재로
국도화학의 에폭시수지는,응용이 가능한,보호재로
국도화학,기록했다,에폭시 생산능력 세계 1위를
에폭시 생산능력,포함한다,경화제를
에폭시 생산능력,75만톤이다,2019년 10월 기준
국도화학,확인된다,에폭시 생산능력 세계 1위로
에폭시 생산능력,75만톤이다,국내뿐만 아니라 세계에서도
국도화학,갖춤,익산공장을
국도화학,갖춤,부산공장을
국도화학,갖춤,자회사 국도정밀㈜의 시화공장을
국도화학,갖춤,국도화공(쿤샨)유한공사의 생산설비를
국도화학,갖춤,Kukdo Chemical India Pvt.Ltd의 생산설비를
국도화학,갖춤,2021년 기준 에폭시수지 사업부문 연간 총 82만톤의 생산능력을
국도화학,기록했다,에폭시 생산능력 세계 1위를 2019년 10월 기준으로
에폭시 생산능력,포함한다,경화제를
에폭시 생산능력,75만톤이다,2019년 10월 기준
국도화학,확인된다,에폭시 생산능력 세계 1위로
국도화학,충족하고 있다,고객의 니즈를
국도화학,유지하고 있다,국내 1위의 시장점유율을
국도화학,사용한다,다품종 소량생산 방식을
국도화학,설립하였다,"신규 법인을 인도, 중국, 유럽, 미국 등에"
국도화학,확보하고 있다,에폭시수지의 글로벌 사업기반을
국도화학,흡수합병하였다,국도정밀㈜을
국도화학,강화하였다,주력사업 부문을
국도화학이,확보를 위하여,신성장 동력을
국도화학이,개발하여 판매하고 있다,풍력 발전기 블레이드용 고부가가치 제품을
국도화학이,개발하여 판매하고 있다,전기자동차 부품용 고부가가치 제품을
국도화학이,개발하여 판매하고 있다,수소 탱크용 고부가가치 제품을
국도화학,설립하였다,생산법인(Kukdo Chemical India Pvt.Ltd)을 2017년 5월 인도에
국도화학,운영하고 있다,4만 톤 규모의 생산능력을 갖춘 에폭시 공장을
인도는,많다,에폭시의 소비가 세계에서 3번째로
국도화학,설립하였다,종합기술연구소를 중국에
국도화학,설립하였다,생산법인 국도화공(쿤샨)유한공사를 중국에
국도화학,설립하였다,생산법인 국도화공(닝보)유한공사를 중국에
국도화학,개발하고 있다,중국 현지에 부합하는 제품을
국도화학,수행하고 있다,기술지원 활동을 통해
국도화학,영위하고 있다,사업을 중국 현지에 부합하는 제품 개발 및 기술지원 활동을 통해
중국,수요가 가장 크다,세계 에폭시 및 폴리우레탄 시장 중
국도화학,설립하였다,신규 법인(Kukdo Europe GmbH)을 독일에 2021년 4월
국도화학,설립하였다,판매법인(Kukdo Chemical America Inc.)을 미국에 2022년 1월
국도화학,확대하고 있다,글로벌 사업기반을
국도화학,확보하기 위하여,주도적 사업자 지위를 미국에서
국도화학,주력으로 하고 있다,에폭시수지 판매활동을 미국에서
국도화학,흡수합병하였다,종속회사인 국도정밀㈜을 2022년 7월
국도화학,확보하고 있다,규모의 경쟁력을
국도화학,제고하고 있다,운영효율성을
국도화학,강화하고 있다,수익성을
국도정밀㈜은,영위하고 있다,에폭시수지의 제조 및 임가공을 주요 사업으로
국도화학,도모하고 있다,에폭시 사업부문의 양적 성장을
국도화학,목적으로 하고 있다,수익성 강화를
국도화학,도모하고 있다,주력 사업의 양적 성장을
2022.07,흡수합병,국도정밀㈜
2022.01,설립,"(2022.01, 설립, 미국 판매법인(Kukdo chemical America Inc.))"
2021.04,설립,"(2021.04, 설립, 유럽 판매법인(Kukdo Europe GmbH, 독일))"
2018.01~2018.11,준공,"(2018.01~2018.11, 준공, 국내 익산공장 (EPOXY RESIN(NTS-P)))"
2018.01~2018.11,증설,"(2018.01~2018.11, 증설, 국내 익산공장 (SPECIAL RESIN(PF-P), EPOXY RESIN(PA-P)))"
2018.06,설립,"(2018.06, 설립, 중국 생산법인(국도화공(닝보)유한공사))"
각 국가에서,추진되고 있다,기후변화에 대응하기 위한 글로벌 그린 뉴딜 정책이
바이든 대통령의,정책은,친환경
바이든 대통령은,당선되었더,2021년 1월
세계 각 국가에서,추진되고 있다,화석 연료 중심의 사회에서 친환경 에너지 중심 사회로의 변화 정책이
변화 정책이,추진되고 있다,세계 각 국가에서
국도화학,사용되는,풍력 발전기 블레이드에
블레이드에,사용되는,에폭시수지를
에폭시수지를,공급하고,덴마크의 베스타스에
에폭시수지를,공급하고,독일의 지멘스에
에폭시수지를,공급하고,미국의 헥셀에
국도화학,공급하고, 에폭시수지를
에폭시수지를,공급하고,글로벌 업체들에게
풍력 발전기 블레이드는,의해,바람에 손상되지 않으면서 구동할 수 있도록
블레이드는,구동할 수 있도록,가볍고 길고 구부러진 형태로 만들기 위해
블레이드를 만들기 위해,가진,높은 강도와 접착성을 가진 에폭시수지를
풍력 발전소,구성된다,블레이드의 약 25%가
블레이드의 약 25%가,구성된다,에폭시수지로
국도화학의 풍력 발전기 블레이드용 에폭시수지,획득하였다,제품인증을 2009년 5월
국도화학의 풍력 발전기 블레이드용 에폭시수지,증가하고 있다,매출이 점진적으로
매출이,증가하고 있다,점진적으로
제품인증을,획득하였다,2009년 5월
국도화학,확보,향후 신성장 동력을
국도화학,바탕으로,자체 R&D 역량을
국도화학,바탕으로,고부가가치 에폭시 수지의 개발을 위한 투자를 확대하는
국도화학,확대하는,고부가가치 에폭시 수지의 개발을 위한 투자를
국도화학,지속하고,활동을
정보통신기술의 발달과 친환경 정책 등의 영향으로,인해,에폭시수지의 사용 용도 및 수요가 다양화되고
에폭시수지의 사용 용도 및 수요가,다양화되고,"전기자동차 용도 및 수소탱크 용, 우주항공분야 등으로"
에폭시수지의 사용 용도 및 수요가,다양화되고,꾸준히
"국도화학의 주요 전방산업인 건설,  인프라, 자동차, 풍력",예상,2021년 대비 개선될 것으로
"건설, 인프라, 자동차, 풍력",개선될,2021년 대비
전방산업의 수요 증가에,따라,국도화학의 에폭시수지 수요도 증가할
국도화학,증가,에폭시수지 수요
국도화학,기록하였다,코로나19의 여파에도 불구하고
국도화학,기록하였다,LNG선 발주 등 조선업의 호황에 힘입어
국도화학,기록하였다,"2021년 매출액 1조 5,771억 원"
국도화학,기록하였다,39.20% YoY
국도화학,유지되었다,이러한 기조가 2022년 상반기에도
국도화학,나타내었다,"8,581억 원의 양호한 실적을"
실적이,증가하였다,전년 동기 대비 14.1%
중국 쿤샨시의 정책으로,제한되었다,일부 원료의 사용이 2019년 3월 말에
중국 쿤샨 폴리올 공장,재가동되었다,일부만
국내 시장에 공급하는,위축되었다,Base 폴리올사업이
중국 닝보에,완공되었다,12만톤 규모의 Base 폴리올 생산 공장이
폴리올 생산 공장이,가동,2022년에
폴리올시장,전망,회복
국도화학의 에폭시수지 및 폴리올수지 사업부문의 시장현황 등,고려,2022년 하반기 매출액은
2022년 하반기 매출액,감소,전년 동기보다 12%
2022년 하반기 매출액,전망,"7,250억 원"
국도화학의 2022년 매출액,전망한다,전년보다 조금 높은 1조 5.832억 원
1조 5.832억 원,전망한다,YoY 0.40%
국도화학,전망되며,에폭시수지의 주요 원재료 가격에 직접적인 영향을 주는
원유 가격이,상승함에 따라,원재료 가격에 직접적인 영향을 주는
원유 가격이,상승함에 따라,영업이익률 역시 감소할 것으로
영업이익률,전망되며,감소할 것으로
국도화학의 영업이익률은,기록할,2022년
국도화학의 영업이익률은,기록할,전년 대비 4.0%p 감소한 9.0%를
국도화학의 영업이익률은,전망한다,기록할 것으로
EU 집행위,2024년 07월 01일,반덤핑 조사 개시 발표
반덤핑,에폭시수지,조사 대상 품목
반덤핑,한국,조사 대상 국가
반덤핑,중국,조사 대상 국가
반덤핑,대만,조사 대상 국가
반덤핑,태국,조사 대상 국가
에폭시수지 반덤핑 조사,에폭시수지,대상 품목
에폭시수지 반덤핑 조사,개시,EU 에폭시수지 생산자 협의체 제소
EU 에폭시수지 생산자 협의체,2024년 06월 06일,제소 날짜
에폭시수지,특성,내열성 뛰어남
에폭시수지,특성,접착력 뛰어남
에폭시수지,용도,전자제품
에폭시수지,용도,항공우주
에폭시수지,용도,선박용 도료
에폭시수지,용도,자동차용 도료
에폭시수지,용도,반도체
에폭시수지,용도,풍력에너지
EU 집행위,조사 개시,역외국 에폭시수지 덤핑에 따른 EU 시장점유 확대
제소 기업 주장,EU 시장점유 확대,역내 산업 실질적 피해
EU 집행위,내부 검토 결과,덤핑 및 피해 사실 근거 충분
EU 집행위,조사 개시 발표,덤핑 및 피해 근거 확인
올린 코퍼레이션,주장,한국 수출기업 부당한 가격 판매
올린 코퍼레이션,주장,중국 수출기업 부당한 가격 판매
올린 코퍼레이션,주장,대만 수출기업 부당한 가격 판매
올린 코퍼레이션,주장,태국 수출기업 부당한 가격 판매
한국 수출기업,판매,유럽에 부당하게 낮은 가격
중국 수출기업,판매,유럽에 부당하게 낮은 가격
대만 수출기업,판매,유럽에 부당하게 낮은 가격
태국 수출기업,판매,유럽에 부당하게 낮은 가격
유럽 생산기업,피해,외 수출기업의 낮은 가격 판매
올린 코퍼레이션,입장,그린딜 달성과 EU 공급망 탄력성 보장 필요성
올린 코퍼레이션,입장,에폭시수지 보호 필요성
에폭시수지,활용 분야,핵심 산업
제소협회,주장,중국 덤핑마진 140~170%
제소협회,주장,한국 덤핑마진 10~40%
제소협회,주장,대만 덤핑마진 20~40%
제소협회,주장,태국 덤핑마진 60~90%
집행위 조사 대상 품목,포함,HS 291090
집행위 조사 대상 품목,포함,HS 382499
집행위 조사 대상 품목,포함,HS 390730
집행위 조사 대상 품목,포함,TARIC 2910900005
집행위 조사 대상 품목,포함,TARIC 3824999296
집행위 조사 대상 품목,포함,TARIC 3824999310
집행위 조사 대상 품목,포함,TARIC 3907300005
집행위 조사 대상 품목,포함,TARIC 3907300020
집행위 조사 대상 품목,포함,TARIC 3907300080
덤핑 사실 및 산업 피해 조사,2023-04-01부터,기간
덤핑 사실 및 산업 피해 조사,2024-03-31까지,기간
품목 수입 추이,2020년 1월 1일 이후,검토 예정
